sample,true_class,true_m1,true_m2,true_mc,true_chi_eff,recovered_m1,recovered_m2,recovered_mc,recovered_chi_eff,route,confidence,bucket,waveform_samples
0,BNS,1.4388784397520524,1.3768201154650652,1.2252467323575564,-0.00975801150732926,1.4014048794098295,1.380340380238063,1.210783292719917,-0.013547463387624246,BNS,higher,match,1048576
1,BBH,25.26736720530052,12.515099716121645,15.294614023196624,0.5328911543338166,25.83701555540867,12.632118236851701,15.53132958228057,0.5250697586384079,BBH,higher,match,65536
2,BBH,42.243402739666195,28.52533161281231,30.104087777034323,0.15267328225065327,43.27628886237615,28.437171518412935,30.40616929663757,0.1489334482292621,BBH,high,match,65536
3,BNS,1.4667210037270342,1.0204441375352393,1.0615516342975397,-0.012876894527916329,1.5295449941026005,1.0121496611177199,1.0785977735720067,-0.026161225074251043,AMBIGUOUS,medium,ambiguous,1048576
4,BNS,1.1894713590842856,1.0246164041901882,0.9605283996175105,-0.013943054125278704,1.2049485888351712,1.0398474125161448,0.9739294619849411,-0.014288961537764792,BNS,higher,match,1048576
5,BNS,1.804764357496802,1.3118287887441207,1.3361111108102426,-0.004575991503791184,1.8128351030352716,1.3296411558862518,1.3483456852341362,-0.0012628817285936947,BNS,higher,match,524288
6,BBH,36.73244203818508,29.774438724432994,28.758267252294626,0.012933558196862871,36.53030910227628,30.664659493792435,29.114379932079405,0.01387940930363863,BBH,high,match,65536
7,BBH,30.435624791653495,24.45822390327766,23.72354284703057,0.15770636154345485,30.868557298142022,24.84630118950898,24.08089590416504,0.1496665155598762,BBH,high,match,65536
8,BBH,23.383788967608627,20.68878200327061,19.140629054964393,-0.5576141664682784,23.616299006047278,20.747714303374995,19.262076057042997,-0.5537657979927569,BBH,higher,match,65536
9,BNS,1.7838982091064135,1.5207541945477803,1.432954162705063,0.009397403084968682,1.760282039089816,1.5097118813475694,1.4183271270838127,-0.005693379289366252,BNS,higher,match,524288
10,BBH,12.25723005651208,8.636197201538465,8.929497001016482,-0.1965195304236747,12.420345623649217,8.619186400224216,8.977445087700325,-0.20537260328040702,BBH,high,match,131072
11,BNS,1.3618126105533905,1.0317128461225527,1.0299072220514167,-0.001824030131692875,1.3727009622199147,1.0130289586563548,1.0242227629223843,0.004315761019445885,BNS,higher,match,1048576
12,BNS,1.7168901891589956,1.322142852272631,1.3093792547683436,-0.03042629085835856,1.7052485379227142,1.3443630002255476,1.3162356148951244,-0.04601501843169063,BNS,higher,match,1048576
13,BBH,31.06488060238532,9.60756148106245,14.556925747543842,0.5335080654584494,30.735908046647307,9.65227050117787,14.524943978925355,0.5410620780766312,BBH,higher,match,65536
14,BNS,1.084444321139889,1.035112573801238,0.9222908287171083,-0.023746193641039786,1.1025569541029316,1.0425006082122663,0.9332513347027723,-0.02036511039300501,BNS,higher,match,1048576
15,BBH,12.676683584159875,12.1018544261192,10.78200202755106,-0.05330890237135472,12.83771573577879,12.048068291509821,10.82562152746319,-0.07671867105615625,BBH,high,match,131072
16,BNS,1.0827299999224387,1.0402612436724952,0.9238637198722952,0.020979458954761818,1.0613019477499317,0.9959035413612778,0.8949076237887336,0.015607220078657386,BNS,higher,match,1048576
17,BBH,28.4302581112192,15.283808802919383,17.97559177307613,-0.31527457483695537,28.519556737388566,15.235317912543751,17.971787985479118,-0.3422844826572729,BBH,higher,match,65536
18,BBH,17.655520272755375,13.345336521657124,13.336789307429042,0.391880740589449,18.002535819949482,13.21207116593138,13.394027262673099,0.36956178421680685,BBH,higher,match,65536
19,BBH,29.968361122616752,14.26132153190313,17.75623541098032,0.5165519846589961,29.427176167810007,14.527030777243997,17.780958886697476,0.5203930977843996,BBH,higher,match,65536
20,BBH,47.12196065220335,11.933604015234835,19.758083651000383,-0.6019884492634026,45.91758217034212,11.974795932593029,19.571495027976948,-0.5732983906339284,BBH,higher,match,65536
21,BNS,1.893446639697863,1.4635722585664157,1.4468036192610245,0.0014769452555502079,1.8778852640102133,1.4959549278865933,1.4572284317914135,0.020207526342825313,BNS,higher,match,524288
22,BNS,1.9368131505337791,1.2257444035570118,1.3343965147754122,-0.01026978599064418,1.9298592470725948,1.216350609269083,1.3267622613384862,-0.0009697310450726263,AMBIGUOUS,medium,ambiguous,524288
23,BNS,1.3103236729000947,1.2412471247333061,1.110147233582983,0.024266045503591793,1.306040410918013,1.2496273934949025,1.1120937774555104,0.039419665503454666,BNS,higher,match,1048576
24,BNS,1.1218325046285311,1.0616874437377346,0.949999523588962,0.013924782342767452,1.1021297072437881,1.0545927505047246,0.9384943060155297,0.010282975439919236,BNS,higher,match,1048576
25,BBH,10.897598820079097,5.729850286388572,6.809564358603544,0.39188630894246385,10.826181821549286,5.844763330638572,6.860461058725236,0.40317043087158194,BBH,higher,match,131072
26,BBH,46.61637931904122,6.03456202320888,13.342258434365373,0.10276326047961458,45.60537440495573,6.045483347202881,13.232829755265069,0.11299309788208908,BBH,high,match,65536
27,BNS,1.5960425532343727,1.5561215432295499,1.3719270694484158,0.013800511871263873,1.577186682618778,1.5659439381343092,1.3681165635615886,0.018484302461102997,BNS,higher,match,524288
28,BNS,1.2326407419664336,1.1234786313701839,1.0242390808988984,0.023081439868111557,1.2871491500228986,1.1115823537051708,1.0407489538405683,0.012445914241781241,BNS,higher,match,1048576
29,BBH,44.03707842885462,22.71880818422509,27.241091967172864,-0.4095429379523791,43.07109377809375,23.553457906243892,27.480047917875503,-0.38050148634844166,BBH,higher,match,65536
30,BNS,1.1461732441926982,1.1205438400885486,0.9865702329314032,-0.027195561288435185,1.1639925148204497,1.1302873290210096,0.9985139806311195,-0.03230278616718542,BNS,higher,match,1048576
31,BBH,10.197052864940973,5.109907358889115,6.2109041597764305,-0.6476748739746115,10.08379884478821,5.158097722216176,6.209554477942086,-0.6323478228536215,BBH,higher,match,262144
32,BBH,27.703680666000356,24.86583278966664,22.84217725725866,-0.049435019023548694,27.64977672888978,25.90680025307659,23.297036541508067,-0.0433082877184779,BBH,high,match,65536
33,BNS,1.049254119927594,1.0184020355823324,0.899879381994214,-0.018413857864882078,1.0742503529466183,1.023753722497083,0.9128918584602472,-0.03032976444833701,BNS,higher,match,1048576
34,BBH,45.61939147674277,44.789564953886156,39.350794740460046,0.4653683063627112,45.667261545017666,44.527840547802114,39.25593910080545,0.46189471856939013,BBH,very_high,match,65536
35,BBH,28.14002915856865,24.84424442057222,23.009162163157065,-0.11782187637882617,28.239370452254057,24.991319361108353,23.118204342317583,-0.13833690218227496,BBH,high,match,65536
36,BNS,1.2325699405288737,1.085472199822134,1.0065466343056797,-0.01518218384480146,1.231058209623049,1.0626143585700687,0.995144797974438,-0.006707241327314874,BNS,higher,match,1048576
37,BNS,1.916348019538178,1.4406813185480338,1.4435583952929392,-0.008277241487821833,1.983187729046696,1.453330303403327,1.4743926866023624,-0.0013585091112533725,BNS,higher,match,524288
38,BBH,17.967002638210776,14.5293615744806,14.04967710463316,-0.12390826229406002,17.89849407714732,14.869711024761523,14.18995054702726,-0.09392123408760317,BBH,high,match,65536
39,BBH,8.802194847058411,8.558625571029083,7.555843499395743,0.06781045034996096,8.81730633728325,8.710954843902197,7.629450296484056,0.07251028315416258,BBH,high,match,131072
40,BBH,16.402250922763425,11.728193422349735,12.040525014642771,-0.3002976168722897,16.18826273143305,11.999187882802296,12.105984095902235,-0.3054999917427144,BBH,higher,match,65536
41,BBH,28.518429898090524,22.966278695381604,22.25328312828441,0.25961193559752277,27.34162357488826,22.694769775366932,21.66670394762223,0.24804459725969266,BBH,high,match,65536
42,BBH,34.60384782682375,17.39241643564366,21.110385440879618,0.38374155570833207,35.343312369438436,17.473422665742337,21.37257395748682,0.389271481346995,BBH,higher,match,65536
43,BNS,1.3641920177720541,1.1145165308587952,1.0723390419911911,-0.034680749785762494,1.3914710629082536,1.0909214116212864,1.0709926682295352,-0.023051275078631726,BNS,higher,match,1048576
44,BNS,1.9361399868384623,1.7304714302383708,1.5929705084697503,-0.006924644630269084,1.9876010616400124,1.7601245804070014,1.6276837164475666,0.007233066835515753,BNS,higher,match,524288
45,BBH,43.274015563585216,29.38337575103316,30.927254722881226,-0.30317959840279013,42.87788571761182,29.446773583679555,30.82516205001021,-0.2986570494444396,BBH,high,match,65536
46,BNS,1.458548081798551,1.202822294519383,1.1519994403663134,0.008056481710573282,1.4666072652847537,1.1688361684777406,1.1383340968464752,-0.01769347459150218,BNS,higher,match,1048576
47,BNS,1.283908437864039,1.2376020005852943,1.097329057088941,0.004456524439248315,1.266899861883974,1.2410237580428864,1.091567431893645,0.014763912145053999,BNS,higher,match,1048576
48,BBH,15.837262611851617,6.5499656204202825,8.700644373362652,0.17199053661650243,15.712546964939241,6.618238172570965,8.717914191201714,0.16403803926216823,BBH,high,match,131072
49,BNS,1.051657917014399,1.0313008325438613,0.9066084957892732,0.0022768112658486735,1.0173109389075228,1.0025745996601811,0.8791781682979255,0.00692803603376448,BNS,higher,match,1048576
50,BNS,1.6981207839786372,1.5850114072062857,1.4280483373363149,-0.03818175203038496,1.7440918306181974,1.587931843296803,1.448435324058819,-0.052713952418037634,BNS,higher,match,
51,BBH,38.05794913708227,11.381555786490763,17.50545426032927,-0.20503149520800354,39.36772855130508,11.06692826600436,17.49664005263264,-0.21104038193100608,BBH,high,match,
52,BNS,1.8841457113668172,1.6273705976507344,1.5235672645641491,-0.036459918861848926,1.864026794478232,1.5925529252327582,1.4989884946474004,-0.03955172879451732,BNS,higher,match,
53,BNS,1.6364083421077769,1.3642885037658667,1.2996736626953493,0.0009262589387597642,1.6251895797711071,1.323991300941479,1.2756549379501994,0.00925382857682162,BNS,higher,match,
54,BNS,1.148438989920058,1.0754593670181596,0.9673823831164098,-0.006204920686870655,1.1961446983374604,1.0769516988516177,0.9877894797838522,0.005610240451194853,BNS,higher,match,
55,BBH,24.25564461566075,16.76495907033162,17.495597607824923,0.06970270185216308,23.851366663843024,16.23197839103453,17.066247646376013,0.03731601884980505,BBH,high,match,
56,BBH,23.828001987058716,13.926970948727192,15.746054334970387,-0.23433010158428372,23.993705940977087,13.81358361329699,15.729941482226984,-0.23853291845842178,BBH,high,match,
57,BNS,1.316214151824043,1.2489972121942101,1.1161130445221596,-0.0008176304746343692,1.3163810230958535,1.3138869570483769,1.1448900182331012,0.015585178223482063,BNS,higher,match,
58,BBH,46.44757387828363,25.874362874062594,29.925789013743177,0.19248789186373572,46.84730296148577,25.433703229387557,29.77499366232782,0.20611658255911122,BBH,high,match,
59,BBH,7.500556260809505,5.70168468347876,5.682356415627927,-0.37673598469566466,7.640898737793305,5.492842683086776,5.624543380251001,-0.3937741750623784,BBH,higher,match,
60,BBH,21.751770793619666,7.573288076007188,10.879769104380255,-0.037476309137185256,20.46209575778352,7.490967115015394,10.519786399084117,-0.007201125673750584,BBH,high,match,
61,BBH,18.99326794643448,14.622681290379171,14.483280767592266,0.10762905314593109,19.03105599242692,14.59750084256971,14.484489444248162,0.12003510172732262,BBH,high,match,
62,BNS,1.1659068678765336,1.1387486254368966,1.003075984670116,0.027510343225148823,1.1691710769741925,1.1452074586448984,1.007326965953991,0.03943898228739551,BNS,higher,match,
63,BNS,1.3925727158419199,1.031425164682183,1.040990858808077,0.01185082944271571,1.436152388341193,1.023962381196683,1.052687927075193,-0.002572899128449589,BNS,higher,match,
64,BBH,15.478352822466782,8.060300708128997,9.622529885131799,0.03704872524311679,14.737168707505255,7.933501574647754,9.324692271722578,0.010497737388016173,BBH,high,match,
65,BNS,1.637588700478459,1.413890099291938,1.3239458432430187,0.02131553080070292,1.6442500261714472,1.3853709168022894,1.312933396253214,0.03499216780687652,BNS,higher,match,
66,BBH,26.715762886428227,21.69133448066678,20.933917222157824,0.3142777735273928,26.55168363747967,21.36443410494799,20.709697269969347,0.29297949940314216,BBH,high,match,
67,BBH,27.446763133916836,16.92845776417792,18.656793799754816,-0.45284291628680595,27.630269518090817,16.945772887741388,18.72611129087777,-0.45611382962912284,BBH,higher,match,
68,BNS,1.0248231317985725,1.02302247319941,0.8913761589821422,-0.012206695351746859,1.0216315666072922,0.9951416455338403,0.8777606550102277,-0.01834449354565927,BNS,higher,match,
69,BNS,1.6337697730692629,1.6222389325720854,1.417249441596542,0.0049184739636107914,1.6340311281131805,1.6255186693100587,1.4187956502363614,-0.030783601549959724,BNS,higher,match,
